vehicle_age,odometer_km,days_since_service,battery_voltage,engine_temp,brake_wear_pct,tire_pressure_avg,oil_life_pct,maintenance_required
9.2,129026,387,12.17,90.0,86.8,34.7,7.7,1
4.8,72288,89,12.8,93.2,68.1,34.2,45.0,0
1.5,33265,29,12.14,100.4,93.6,34.1,89.8,1
9.4,143627,16,12.64,96.7,23.7,32.5,75.0,0
6.9,102762,91,12.26,84.0,32.1,33.8,48.9,0
5.4,60660,39,12.5,99.9,16.6,37.6,77.2,0
10.9,176273,28,11.83,93.0,60.1,31.6,100.0,0
1.8,34693,189,12.39,95.5,81.8,32.9,2.8,1
6.2,127852,89,11.0,100.5,83.0,29.0,33.5,1
0.6,15494,50,12.27,83.8,28.3,29.7,55.0,0
5.9,91924,276,11.62,90.8,7.2,32.8,2.0,1
1.1,19116,57,12.89,87.5,41.8,36.0,77.6,0
1.9,43238,376,12.7,80.8,98.0,31.7,3.8,1
1.9,33870,75,12.56,93.3,76.3,31.7,64.2,0
8.0,121422,273,13.03,107.3,60.9,31.2,11.6,1
9.1,150752,119,11.92,79.0,46.9,30.8,35.1,0
7.2,111100,217,13.14,90.8,44.3,33.4,8.9,1
11.6,155662,450,12.77,95.2,52.2,27.7,2.0,1
4.8,77673,51,12.24,91.8,66.9,36.6,65.5,0
3.8,71655,377,12.86,90.3,51.4,30.4,2.0,1
10.5,127179,74,11.85,82.6,83.6,34.8,60.3,1
3.1,47045,79,11.98,92.5,5.0,28.4,60.0,0
11.6,146522,90,12.08,86.1,31.4,34.6,56.1,0
0.6,20293,98,12.11,76.8,41.9,34.7,51.6,0
11.7,122571,47,11.87,98.8,50.3,33.7,67.2,0
1.0,17534,105,12.9,97.2,33.8,29.3,45.6,0
10.7,166066,130,12.23,91.3,78.6,33.3,20.0,1
6.6,123183,172,12.51,92.5,70.2,28.7,27.6,1
11.9,171812,221,12.09,98.0,78.8,31.7,2.0,1
1.3,26554,100,11.53,92.5,70.8,35.8,45.1,1
6.9,132402,74,12.47,96.9,85.7,35.0,78.9,0
11.6,123867,58,11.49,89.1,56.7,32.5,58.6,0
6.5,58982,46,12.32,99.5,29.1,29.4,65.7,0
7.7,125941,30,11.73,93.1,74.1,34.6,74.0,1
8.5,115512,65,13.2,92.3,45.1,32.6,66.8,0
5.7,69846,52,12.76,82.7,53.1,25.1,78.3,0
7.7,130230,400,12.4,92.9,95.3,35.0,7.4,1
7.2,114366,109,12.92,85.6,54.0,32.4,71.2,0
10.9,145539,67,11.97,86.9,27.1,36.3,44.0,0
1.0,20395,129,12.59,85.7,67.1,29.0,41.6,0
3.7,64391,60,12.44,84.1,39.0,22.3,64.4,0
11.4,186636,96,12.47,104.8,18.1,33.4,46.1,0
10.7,153354,121,12.92,99.7,34.7,33.4,33.3,0
5.7,115596,86,12.68,103.5,46.7,27.1,47.9,0
7.6,94253,100,12.48,83.1,5.0,29.4,66.8,0
3.7,45797,450,11.61,91.5,5.0,41.3,8.4,1
2.7,39930,247,11.92,82.6,93.0,31.5,2.0,1
5.8,84410,138,12.29,86.5,98.0,34.8,44.5,0
4.6,73026,125,12.39,85.0,53.7,30.4,22.4,0
7.2,106496,139,11.84,99.1,31.7,25.8,17.2,1
1.4,30241,44,13.2,88.4,66.4,32.0,56.2,0
11.7,129598,66,13.03,97.9,92.7,31.7,60.0,1
11.8,211839,48,12.62,94.9,73.9,31.2,77.6,0
8.5,120706,90,12.38,106.0,83.6,32.1,56.0,1
6.7,119737,120,12.25,81.4,37.0,33.3,41.5,0
4.1,68855,63,11.92,99.2,24.4,32.0,54.4,0
9.9,152987,397,12.38,98.5,34.0,28.5,8.0,1
8.4,135217,285,12.47,84.7,13.6,34.1,2.4,1
2.4,44560,160,11.79,97.5,80.2,26.3,27.3,1
11.0,179157,115,12.5,93.2,62.0,25.9,23.6,0
10.0,178860,265,12.28,89.5,98.0,34.9,3.1,1
11.4,172253,59,11.49,85.6,85.7,34.1,58.6,1
8.8,145587,186,11.96,86.3,10.4,32.3,3.0,1
7.6,108446,30,12.16,104.3,29.2,28.0,90.3,0
5.3,99974,217,13.2,91.0,10.5,30.2,2.0,0
11.2,145697,71,12.6,96.1,25.1,31.7,56.0,0
10.5,202516,271,11.75,85.9,42.5,27.4,2.0,1
1.0,21268,334,12.57,85.9,53.2,30.1,2.0,1
0.8,16461,48,11.65,98.0,5.0,34.6,87.5,0
4.8,72438,103,12.84,82.2,50.7,37.1,46.4,0
9.8,126469,450,12.14,88.3,67.5,31.2,11.2,1
11.9,192938,97,12.31,91.2,25.7,34.9,46.2,0
2.2,31553,230,12.95,91.7,63.7,26.4,2.0,1
7.3,102288,128,11.77,89.8,36.9,34.6,28.4,0
4.9,55204,71,11.72,93.6,5.0,29.9,73.3,0
11.7,152772,63,12.09,95.5,40.0,33.5,61.4,0
10.2,86079,69,12.82,95.8,98.0,31.7,71.9,0
10.1,110216,182,11.67,84.6,67.2,36.7,5.2,1
5.9,97289,93,11.08,89.2,10.4,29.7,33.7,0
5.3,90580,95,12.15,98.8,5.2,34.5,46.8,0
3.6,62759,108,12.6,96.8,17.8,31.6,34.2,0
1.1,20228,139,12.89,82.1,16.2,32.0,30.8,0
10.4,148479,234,12.14,93.3,40.1,31.9,2.0,1
9.8,142631,445,12.16,78.1,16.9,29.8,9.3,1
12.0,141483,83,12.87,91.3,28.5,32.5,57.6,0
12.0,218849,207,11.51,103.3,69.9,32.3,2.0,1
6.9,113573,195,12.18,84.8,58.6,33.3,9.1,1
9.3,133734,136,12.44,85.6,98.0,32.8,41.6,1
11.4,162154,369,12.55,96.0,65.4,35.1,2.0,1
10.3,157110,44,12.12,81.0,52.5,35.5,70.3,0
3.3,33371,38,12.37,86.9,74.3,29.1,63.3,0
5.7,85691,247,11.23,94.9,71.6,35.3,2.0,1
2.0,29353,74,12.05,86.9,81.5,28.7,56.8,1
11.5,136492,237,12.55,89.5,5.0,34.4,2.0,1
7.5,102535,277,11.91,95.8,33.9,34.5,2.0,1
3.1,62320,39,12.38,93.7,19.7,26.4,87.4,0
8.2,137334,255,12.55,92.7,5.0,32.8,2.0,1
7.6,105625,100,12.2,88.8,51.9,31.0,49.4,0
4.6,76222,92,12.43,93.4,65.2,30.1,65.8,0
1.8,37189,125,11.92,90.2,98.0,36.8,40.9,1
8.2,141908,328,12.26,94.0,14.4,30.4,2.0,1
6.5,100826,38,12.62,87.8,5.0,29.9,75.0,0
9.4,122914,82,12.42,89.8,83.8,32.7,52.7,1
6.5,107193,147,12.09,84.6,31.1,34.7,18.0,0
10.3,159635,159,12.45,90.8,63.1,32.0,15.1,0
6.8,118745,149,12.67,85.7,64.2,36.2,33.1,0
7.0,110374,35,11.43,83.8,26.8,34.2,80.3,0
10.6,182863,51,12.87,92.7,8.3,25.5,61.0,0
5.1,69927,75,12.2,92.4,81.7,30.8,80.2,0
2.0,43653,215,12.54,96.1,98.0,30.7,3.2,1
0.8,14788,67,12.89,88.2,32.2,34.0,52.4,0
9.2,182931,60,11.73,93.7,19.4,24.1,65.6,1
7.6,99565,360,12.03,94.6,23.8,40.7,2.0,1
8.6,164805,44,12.22,93.9,68.7,34.2,95.0,0
2.9,45265,450,12.0,85.6,5.0,33.0,2.0,1
2.1,32227,162,13.13,92.0,74.4,36.3,28.8,0
0.7,15026,233,11.96,93.4,45.8,40.0,14.0,1
4.5,66301,81,12.1,91.0,37.3,35.3,53.2,0
7.3,116529,31,12.44,77.4,76.0,35.5,81.7,0
5.0,84113,164,11.81,92.0,85.8,32.9,7.6,1
5.5,77941,229,12.17,105.4,62.5,32.0,2.0,1
10.9,156065,184,12.49,88.7,58.8,31.0,7.6,1
4.5,95797,53,12.2,86.3,9.4,29.9,80.1,0
6.4,123426,182,12.31,93.4,83.4,30.3,19.9,1
9.5,146160,174,12.11,93.0,21.3,28.2,5.5,1
5.1,73793,141,11.67,98.8,63.3,32.3,9.8,1
7.7,114127,202,12.49,82.8,59.5,27.1,2.0,1
10.4,170098,236,13.14,95.8,81.5,33.1,2.9,1
11.4,138335,133,12.36,94.8,5.0,32.4,36.0,0
2.2,37578,30,12.45,90.1,70.1,33.0,81.7,0
11.2,115783,96,12.66,93.2,68.4,30.8,53.2,0
6.2,97900,50,11.78,97.7,16.0,42.3,90.2,1
3.5,57371,91,13.12,96.7,21.2,36.9,58.3,0
5.8,78564,95,12.44,83.6,58.3,28.5,48.8,0
11.8,216573,33,13.08,96.3,68.3,33.2,78.5,0
6.2,70128,79,12.02,90.6,31.6,30.6,58.8,0
4.3,48023,32,13.17,91.5,5.5,29.3,100.0,0
7.8,120131,216,12.7,91.5,59.8,28.2,2.0,1
3.3,62087,350,12.6,90.0,26.4,33.9,2.0,1
1.4,34978,34,12.46,98.7,76.9,30.3,78.2,0
2.0,34941,374,12.24,90.5,82.0,35.6,11.0,1
2.0,40075,124,12.89,83.7,98.0,35.7,57.6,0
2.2,36610,51,12.41,88.4,63.2,36.9,79.0,0
2.1,35536,48,11.46,92.2,92.9,29.8,76.8,1
7.9,135852,97,11.85,99.0,13.6,34.0,51.9,0
2.6,43456,200,12.27,94.9,87.2,34.5,2.0,1
4.5,50295,146,12.49,85.5,14.2,31.0,34.5,0
10.8,200016,26,12.32,107.2,39.0,30.0,88.3,0
6.0,108909,36,12.9,92.7,44.2,37.7,86.3,0
8.2,108264,69,11.47,99.3,58.7,33.2,58.4,0
2.5,43901,66,12.41,90.0,98.0,34.5,63.2,0
2.7,44783,72,11.53,94.5,98.0,29.9,59.9,1
1.0,19110,50,12.69,96.5,37.3,28.6,85.2,0
